127.0.0.1 - - [19/Apr/2016:08:29:24 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:33:08 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:33:08 +0300] "GET /inscorp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:33:09 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:33:09 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:33:17 +0300] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:33:18 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:35:25 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:35:26 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:35:27 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:35:30 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:35:43 +0300] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:35:43 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:40:52 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:40:53 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:41:55 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:41:55 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:42:25 +0300] "GET /inscorp/searchGO.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:42:26 +0300] "GET /inscorp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:05 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 10354
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:06 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:06 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:49 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:49 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:49 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:50 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:54 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:54 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:59 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 10354
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:59 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:46:59 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Apr/2016:08:47:00 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
